I. Traoré,87
B. Fornaroli,68
I. Ordets,82
D. Santon,77
Jairo,69
C. Riveros,74
P. Groß,76
S. Kießling,81
G. Lux,77
M. Torres,72
M. Noble,76
Hélder Costa,73
Emerson,63
G. Cameron,84
P. Djilobodji,82
C. Fuchs,89
B. Ramselaar,74
F. Frei,77
A. Candales,84
G. Moreno,83
Renan Bressan,75
A. Kasaev,76
N. Al Abed,60
David Seijalbo,76
Jesús Gámez,75
R. Berić,83
L. Ponzio,71
M. Yanga-M'Biwa,77
T. Jantschke,76
Wilson Eduardo,73
A. Domínguez,73
M. Destro,72
Roberto Torres,72
M. Bešić,80
M. Caldara,80
Alexis,75
Diego Castro,71
N. Moisander,76
A. Mounier,65
Gálvez,79
E. Puch,73
J. Calleri,77
L. Ocampos,84
S. Cristóforo,68
J. Rodriguez,80
J. Roussillon,80
H. Villalba,75
A. Saint-Maximin,67
Antônio Chiamuloira,79
K. Toko-Ekambi,70
Y. Ayoub,70
A. Ekdal,75
L. Baal,75
R. Ábila,88
P. Diop,77
M. Díaz,84
S. Tshabalala,65
L. Rossettini,82
T. Chandler,81
F. Viviani,75
F. Krovinović,70
N. Nikolić,80
J. Kurtić,88
A. Mejía,79
Gil Dias,78
J. Locadia,87
C. N'Doye,90
T. Fosu-Mensah,78
B. van Leer,76
S. Meïté,80
O. Peralta,74
A. Raggi,82
L. De Silvestri,84
Ronaldo Cabrais,75
A. Paloschi,80
D. Kuzyaev,74
J. Damm,69
Guilherme,77
R. Sambueza,74
G. Mercado,83
S. de Jong,76
G. Kakuta,64
Eltildo Correia,78
Gabriel,68
M. Kerzhakov,82
F. Borini,74
J. van der Heijden,76
B. Hamid,102
C. Clark,88
J. Boëtius,63
Everton Andrão,75
L. Cigarini,72
R. Meggiorini,78
Michel Macedo,70
J. Collins,83
D. Nagbe,75
Serey Dié,77
S. Proto,77
A. Mehmedi,78
C. Erkin,72
Éder,86
Y. Benzia,76
A. Rolis,76
Beto,81
C. Pantilimon,110
G. Lapadula,69
Dênildo Stein,71
S. Padt,85
M. Sulejmani,73
M. Matip,83
L. Nguyen,68
J. Altidore,79
L. de Jong,89
A. Trebel,71
M. Coco,75
K. Babacar,76
Renato Sanches,70
M. Caruzzo,80
M. Dabbur,77
Rosberto Dourado,70
M. Izco,77
P. Aguilar,67
S. Mounié,80
D. Brosinski,70
Roger,74
Dyego Sousa,83
N. Dirar,79
J. Dátolo,72
S. Larsson,70
B. Ketkeophomphone,71
Andrés Fernández,86
P. Tau,65
A. Matri,80
T. Jedvaj,81
Bóveda,77
F. Lustenberger,70
J. Ayew,81
M. Storari,76
L. Diony,82
E. Codesto,75
Riesgo,76
L. Andersen,73
A. Golovin,69
Laure Santeiro,63
Herrerín,89
G. van der Wiel,78
F. Mussis,75
J. Błaszczykowski,77
L. Deaux,82
J. Vuković,82
E. Bičakčić,85
L. Spinazzola,75
A. Knockaert,69
P. Pekarík,70
E. Valencia,74
L. Cattermole,76
H. Sakai,70
Koo Ja Cheol,77
G. Kashia,87
R. Vlaar,80
S. Kums,69
Fábio Martins,70
E. Balanta,84
M. Schmiedebach,70
G. Peruzzi,71
Maicón,73
N. Castillo,74
L. Öztunali,80
M. Jojić,79
Santi Mina,77
G. Pazzini,78
W. Mansila,71
M. Pereyra,63
V. Stocker,72
J. Añor,65
L. Antonelli,79
K. Théophile-Catherine,84
Timor,80
B. Embolo,86
A. Letellier,93
A. Hahn,80
A. Duncan,78
M. Stendera,73
A. Ranocchia,81
M. Isla,75
Josué Sá,80
Thiago Maia,76
B. Espinosa,84
I. Sosa,74
N. Tomović,79
R. Brady,69
L. Marković,65
P. Aguilar,80
N. Viergever,78
R. Civelli,92
S. De Maio,90
S. Brown,74
D. Cvitanich,72
A. Sulu,80
R. Saïss,76
Maurício,72
Gabri Prestão,80
Carlos Soler,76
Serantes,76
E. Mas,73
Carlos Mané,67
Aritz Elustondo,71
Fred Aníbão,90
O. Romero,73
Nelsildo Reis,88
Laguardia,75
Y. Poulsen,78
A. Cresswell,66
M. Pazdan,78
Douglas,87
Camarasa,76
D. van de Beek,75
P. Hurtado,72
J. Martin,76
O. Murillo,79
Aythami Artiles,78
E. Gutiérrez,70
F. Ferreyra,76
Adrián González,76
M. Mavraj,84
A. Hunt,73
F. Niederlechner,86
S. Denswil,82
I. Fernández,67
A. Souquet,73
S. İnan,74
A. Delort,82
J. Gnagnon,89
D. Gastaldello,77
R. Bistama,79
D. Moreno,73
R. Ghezzal,70
Carlos Eduardo,73
R. Cabella,71
J. Tarkowski,81
F. Montero,73
C. Musonda,66
Cejudo,78
J. Vázquez,64
S. Francis,90
